"id","make","model","vin","year","serialNum"
"6204","Kenworth","T680","1XKYDP9X3PJ233878","2023","87A031910161"
"6215","Peterbilt","579","1XPBDP9XXGD292070","2016","87B030600323"
"6221","Kenworth",,"1XKYD49X5KJ258952","2019","87B030600364"
"6245",,,"1XPBDP9X3KD232253",NULL,"87B012810027"
"6249",,"Peterveld579","1XPBD49X8PD875591","2023","4C3000031389"
"12656",,,"1XKWDB9X83J383263",NULL,"87B030600440"
"12659","kenworth","T680","1XKYDP9X1FJ422835","2015","87A032060294"
"12663","Kenworth","T680","1XKYD49X0KJ376682","2019","87B030600361"
"12669","Kenworth","T680","1XKYDP9X4PJ244677","2023","87B011040055"
"32802",,,"1XPBD49X1ND781145",NULL,"87A101770120"
"32803",,,"1XPBD49X7ND781151",NULL,"87A102900135"
"32807","Kenworth","T680","1XKYD49X4PJ258531","2023","87A102380067"
"32808","Kenworth","T680","1XKYD49X6PJ258532","2023","87A100200147"
"32813","KENWORTH",,"1XKYD49X3EJ406469","2014","87A031910186"
"32816","PETERBILT",,"1XP7DB9X75D835848","2005","87B031220267"
"32820","KENWORTH",,"1XKYD49X8JJ202437","2018","87B031220277"
"32821","KENWORTH",,"1XKYD49XXMJ471334","2021","87B031220013"
"32822","KENWORTH",,"1XKYD49X1MJ471335","2021","87B031220217"
"32823","KENWORTH",,"1XKYD49X5MJ471337","2021","87B031220036"
"32824","KENWORTH",,"1XKYD49X7MJ471338","2021","87B031220026"
"32825","KENWORTH",,"1XKYD49X9MJ471339","2021","87B031220021"
"32826","KENWORTH",,"1XKYD49X5MJ471340","2021","87B031220022"
"32827",,,"1XKYD49X7MJ471341",NULL,"87B031220007"
"32829","KENWORTH",,"1XKYD49X0KJ293995","2019","87B030600321"
"32830",,,"1XKYD49X2KJ293996","2019","87B031220005"
"32831","KENWORTH",,"1XKYD49X4KJ293997","2019","87B030600304"
"32832","KENWORTH",,"1XKYD49X6KJ293998","2019","87B030600305"
"32833","KW","T680","1XKYD49X8KJ293999","2019","87B030600351"
"32834","KENWORTH",,"1XKYD49XXFJ447103","2015","87B031220240"
"32836","KENWORTH",,"1XKYD49X9KJ294000","2019","87B031220033"
"32837","KENWORTH","T680","1XKYD49X0KJ294001","2019","87B031220213"
"32838","KENWORTH","T680","1XKYD49X2KJ294002","2019","87A031910201"
"32840","KENWORTH",,"1XKYD49X2GJ487497","2016","87B031220248"
"32841","KENWORTH","T680","1XKYD49X4GJ487498","2016","87B031510087"
"32842","KENWORTH",,"1XKYD49X6GJ487499","2016","87A032060280"
"32843","KENWORTH",,"1XKYD49X9GJ105532","2016","87A031910159"
"32844","KENWORTH","T680","1XKYD49X8FJ447102","2016","87B031220018"
"32846","KENWORTH",,"1XKYD49X8GJ105537","2016","87B031220040"
"32847","PETERBILT",,"1XPBD49X8PD856250","2023","87B031220010"
"32848","PETERBILT",,"1XPBD49XXPD856251","2023","87B031220235"
"32849","PETERBELT",,"1XPBD49X1PD856252","2023","87B031220215"
"32850","PETERBILT",,"1XPBD49X3PD856253","2023","87B031220012"
"32851","PETERBILT",,"1XPBD49X5PD856254","2023","87B031220014"
"39752","PETERBILT",,"1XPBD49X7PD856255","2023","87B031220020"
"39753","PETERBILT",,"1XPBD49X9PD856256","2023","87B031220030"
"39754","PETERBILT",,"1XPBD49X0PD856257","2023","87B031220038"
"39755","PETERBILT",,"1XPBD49X2PD856258","2023","87B031220232"
"39756","PETERBILT",,"1XPBD49X4PD856259","2023","87B031220016"
"39759","KENWORTH",,"1XKYD49X1DJ352538","2013","87B031700095"
"39761","KENWORTH",,"1XKYD49X3PJ229750","2023","87B030600339"
"39762",,,"1XKYD49X5PJ229751","2022","87B031220017"
"39763","KENWORTH","T680","1XKYD49X7PJ229752","2023","87B031220265"
"39764","KENWORTH",,"1XKYD49X9PJ229753","2023","87B031220300"
"39765","KENWORTH",,"1XKYD49X0PJ229754","2023","87B031220011"
"39766","KENWORTH","T680","1XKYD49X2PJ229755","2023","87B031220214"
"39767","KENWORTH",,"1XKYD49X4PJ229756","2023","87B031220223"
"39768","KENWORTH","T680","1XKYD49X6PJ229757","2023","87B031700104"
"39769","KENWORTH",,"1XKYD49X8PJ229758","2023","87B031220247"
"39770","KENWORTH","T680","1XKYD49XXPJ229759","2023","87B031220009"
"39771","PETERBILT","587","1XP4D49X4CD157796","2012","87B031220015"
"39772","KENWORTH",,"1XKYD49X4EJ394980","2014","87B031220006"
"39773","KENWORTH",,"1XKYD49X9JJ199192","2018","87B031220212"
"39775",,,"1XKYD49X3PJ256799",NULL,"87B013080548"
"39799","PETERBILT",,"1XPBD49X5ED249512","2014","87B030600422"
"73585","Peterbilt","389","1XPXD49XXLD711274","2020","87B010690660"
"106768","Peterbilt",,"1XPBDP9X8KD628002","2019","4C3000032173"
"106773","Kenworth","N/A","1XKYD49X3HJ132243","2017","4C3000033019"
"148303","KW",,"1XKYD49X1NJ482059","2022","87B030330436"
"148331","Kenworth","T2000","1XKTDU9X47J168581","2007","87B013080149"
"163310","kenworth",,"1XKYDP9X4FJ436583","2015","87B010690623"
"235023","PETERBILT","579","1XPBDP9X7PD872103","2023","87B010550155"
"235024","Peterbilt","579","1XPBD49X1PD855831","2023","87B010690154"
"235026","Peterbilt","579","1XPBD49X3PD855832","2023","87B010690191"
"235027","Peterbilt","579","1XPBD49X6PD855839","2023","87B010690209"
"235028","Peterbilt","579","1XPBD49X2PD855840","2023","87B010690285"
"235029","Peterbilt","579","1XPBD49X4PD855841","2023","87B010690328"
"318761","KENWORTH","T680","1XKYD49X1KJ230081","2019","87B030580004"
"347875","Peterbilt","579","1XPBD49X4ND773976","2022","87B013410660"
"511653","Kenworth",,"1XKYDP9XXKJ247107","2019","87B013150129"
"511670","KENWORTH","T680","1XKYD49X0KJ238396","2019","87B030600254"
"511676","Kenworth","T-680","1XKYD49X7NJ476363","2022","87B010390087"
"779592","Peterbilt","579","1XPBDP9X4HD432275","2017","87B011100263"
"779593","Peterbilt",,"1XPBDP9X5HD363824","2017","87B013130058"
"779601","PTRB",,"1XPHDP9X4CD141911","2012","87A100200091"
"821767","Kenworth","T680","1XKYD49XXGJ487893","2016","87B012790159"
"821770","Kenworth","T680","1XKYDP9XXJJ168115","2018","87B012790160"
"821774","KENWORTH","T680","1XKYD49X9KJ229941","2019","87B010620404"
"821775","Kenworth",,"1XKYD49X2PJ242750","2023","87B010970084"
"831737","Kenworth","T680","1XKYDP9X2KJ226106","2019","87B013410006"
"831738","Kenworth","T680","1XKYD49X4GJ117183","2016","87B013410008"
