"id","make","model","vin","year","serialNum"
"8402",,,"1XKYD49X6KJ288137",NULL,"87B031580013"
"12356",,,"1XKYDP9X2PJ238702",NULL,"87B013320356"
"21991",,,"1XKYD49XXNJ100689","2022","87A032490098"
"27430","PTRB",,"1XPBD49X7PD800574","2023","87B013320462"
"27779","PTRB",,"1XPBD49X0PD800576","2023","87B013320423"
"27784","PTRB",,"1XPBDP9XXKD600878","2019","87B013320476"
"42965","Peterbilt",,"1XPBDP9X5PD857745","2023","87B013320364"
"72037","Peterbilt","579","1XPCD49X9MD762572","2021","87B013320403"
"107371","PTRB",,"1XPBDP9X9PD825462","2023","87B013080494"
"107789","PTRB",,"1XPBD49X7PD866509","2023","87B013080498"
"108027","PTRB",,"1XPBDP9X2PD825464","2023","87B013320342"
"108177","PTRB",,"1XPBD49X3PD866510","2023","87B013320274"
"108213","KW",,"1XKYDP9X3NJ480704","2022","87B013080476"
"108243","PTRB",,"1XPBDP9X5PD825460","2023","87B013320279"
"108377","PTRB",,"1XPBDP9X4PD825465","2023","87B013320368"
"110193","PTRB",,"1XPBDP9X4ND781593","2022","87B013320282"
"136384","KW",,"1XKYD49X1PJ280227","2023","87B013320299"
"188167","Peterbilt","579","1XPBD49X3PD842160","2023","87B013320386"
"234089","Kenworth","Havy duty","1XKYDP9X9KJ223008","2019","87B013320365"
"268501","Peterbilt",,"1XPBDP9X8KD232233","2019","87B030330211"
"281472","PTRB",,"1XPBDP9XXPD825468","2023","87A031910052"
"457825","PTRB",,"1XPBDP9X0PD825429","2023","87B013320337"
"568873","KW",,"1XKYDP9X9NJ102452","2022","87B013320307"
"572259","PTRB",,"1XPBD49X5PD866508","2023","87B013320319"
"841940","KW",,"1XKYDP9X5NJ237234","2022","87B013320276"
"845025","Peterbilt",,"1XPBDP9X7KD232269","2019","87B030330205"
"845831","Kenworth",,"1XKYD49X7PJ237396","2023","87B030330203"
"903547","KWT",,"1XKYD48X7HJ165053","2017","87B030330132"
"1030068","Peterbilt",,"1XPBDP9X3ND781598","2022","87B013320297"
"1391961","PET",,"1XPBD49X3PD800572","2023","87B030330215"
"1459655","Kenworth","T680","1XKYDP9X3HJ145768","2017","87B030330012"
"1797348","kenworth",,"1XKYD49X5PJ237395","2023","87B030330244"
"2135107","KEN",,"1XKYD49X6PJ267280","2023","87B030330217"
"2135137","Kenworth","T680","1XKYDP9X3HJ155958","2017","87B013410666"
"2408011","Kenworth",,"1XKYD48X6HJ165058","2017","87B030330035"
"2581467","Kenworth",,"1XKYD48X2HJ165056","2017","87B030330176"
"2991811","PTRB",,"1XPBDP9X4HD444068","2017","87B013080559"
"2991826","Kenworth","T680","1XKYDP9X1LJ365404","2020","87B030590443"
"3407220","Peterbilt",,"1XPBDP9X3PD825408","2023","87B013320341"
"4559567",,,"1XKYDP9X7MJ464732",NULL,"87B013130097"
"4559579","Kenworth",,"1XKYDP9X9NJ101981","2022","87B011100364"
"4559583",,,"1XKYDP9X9MJ469513",NULL,"87B011100307"
"4559590","Kenworth",,"1XKYDP9X1NJ101957","2022","87A111440053"
"4559591","Kenworth",,"1XKYDP9X4HJ145794","2017","87B010690823"
"4559592",,,"1XKYDP9X7HJ127029",NULL,"87B013080230"
"4559593",,,"1XKYDP9X6HJ138846",NULL,"87B012810031"
"4559594",,,"1XKYDP9X2HJ145812","2017","87B010390168"
"4559595","Kenworth",,"1XKYDP9X6HJ145814","2017","87A111440052"
"4559596","Peterbuilt",,"1XPBDP9X9PD825431","2023","87B010690814"
"4559602","Kenworth",,"1XKYDP9X3HJ138867","2017","87A111440097"
"4705756",,,"1XKYDP9X3HJ138917","2017","87B010130129"
"4705766",,,"1XKYDP9X1NJ144761",NULL,"87A013610226"
"4705767",,,"1XKYDP9X9NJ144765",NULL,"87B112220191"
"4705768",,,"1XKYDP9X1NJ169739",NULL,"87B010280093"
"5307309","Kenworth","T680","1XKYDP9XXHJ165399","2017","87B030330104"
"5307320","Peterbilt",,"1XPBDP9X5KD364365","2019","87B030590446"
"6210607","PETERBILT",,"1XPBDP9X7KD625530","2019","87B010690072"
"6210613","PETERBILT",,"1XPBD49X5LD664665","2020","87B010690452"
"6210614","KENWORTH",,"1XKYD49X0JJ196262","2018","87B112220119"
"6402869","PETERBILT","CONVENTIONAL 387","1XP7D49X49D789963","2009","87B013320350"
"6402870","Peterbilt","ULTRALOFT","1XPBDP9X2KD607033","2019","87A102900130"
"6633860","Kenworth",,"1XKYD49X1JJ139634","2019","87B012790027"
"6966551","Kenworth","T680","1XKYDP9X8NJ169754","2022","87B112170069"
"6966552","Kenworth",,"1XKYDP9X1NJ169756","2022","87B112170066"
"6966553","Kenworth","T680","1XKYDP9X1NJ144758","2022","87B013130080"
"6966554","Kenworth",,"1XKYDP9X3NJ144759","2022","87B013130030"
"6989768","Kenworth","T680","1XKYDP9X0PJ251125","2023","87A103650029"
"6989781","KENWORTH",,"1XKYDP9X6PJ251128","2023","87A111440034"
"6989788","KENWORTH","T680","1XKYD49X8LJ422261","2020","87A111440046"
"6989789","KENWORTH",,"1XKYD49X2LJ422269","2020","87A103650027"
"6989793","KENWORTH",,"1XKYDP9X9PJ239393","2023","87A111440050"
