id,make,model,vin,year,serialNum
342050445,PETERBILT,387,1XP7D49X5AD798496,2010,87B012790064
347373974,KENWORTH,T6 Series,1XKAD49X1CJ336629,2012,87B030310085
355570724,PETERBILT,387,1XP7DB9X07D665285,2007,87A013610079
364085166,PETERBILT,386,1XPHD49X6BD111399,2011,87A013610170
370075968,KENWORTH,T680,1XKYDP9X5JJ179300,2018,87B010130072
371082946,KENWORTH,T680,1XKYDP9X4JJ187243,2018,87B010130131
371931356,KENWORTH,W9 Series,1XKWD49XXNR476592,2022,87A012720311
383067079,KENWORTH,T680,1XKYDP9X6FJ436892,2015,4C3000025097
394117971,KENWORTH,T6 Series,1XKADB9X77R175053,2007,87B011040375
411436880,KENWORTH,T680,1XKYD49X5FJ424103,2015,87B010620295
425226653,PETERBILT,379,1XP5DB9X47N699098,2007,87B011100406
435461197,PETERBILT,579,1XPBDP9X5KD268798,2019,87B010620263
447613986,PETERBILT,579,1XPBDP9XXHD363821,2017,87B112240147
464421808,KENWORTH,T680,1XKYDP9X6PJ238704,2023,87B010390323
475165099,PETERBILT,579,1XPBD49X5KD263258,2019,87B010690304
480151015,PETERBILT,579,1XPBD49X3ND781129,2022,87B010690289
480694625,PETERBILT,579,1XPBDP9X0KD269101,2019,87B010390284
483043090,PETERBILT,579,1XPBDP9X8LD651149,2020,87B011040433
500462180,PETERBILT,579,1XPBD49X5KD263261,2019,87B010620642
506576599,PETERBILT,579,1XPBDP9X1GD351054,2016,88B111810023
518345220,KENWORTH,T680,1XKYDP9X1LJ433670,2020,87B030600199
531464646,KENWORTH,T680,1XKYDP9X4FJ454081,2015,87B010690008
554568442,KENWORTH,T680,1XKYD49XXKJ242262,2019,88B112080248
554577921,KENWORTH,T680,1XKYD49X7KJ240260,2019,87B011040298
563019941,KENWORTH,T680,1XKYDP9X6LJ433678,2020,87B013080371
578025811,PETERBILT,387,1XP7DB9X57D665170,2007,87B010690165
583828756,PETERBILT,579,1XPBDP9X0KD364421,2019,87B030310018
606323308,KENWORTH,W9 Series,1XKWD49X78J234071,2008,87B030310078
614382498,KENWORTH,W9 Series,1XKWD49X7HR168252,2017,87B030310097
627668649,KENWORTH,T680,1XKYD49X8JJ202258,2018,87B030580130
627668650,KENWORTH,T680,1XKYD49X2JJ185067,2018,87B030580121
627668652,KENWORTH,T680,1XKYD49X9HJ122400,2017,87B030580147
641949926,KENWORTH,T680,1XKYD49X2KJ242305,2019,87A013610171
643090055,PETERBILT,587,1XP4D49X3ED210913,2014,87B030310148
678789590,KENWORTH,T680,1XKYD49X4GJ469941,2016,87A013610074
735454783,KENWORTH,T680,1XKYD49X2MJ455712,2021,87B031220252
747872490,PETERBILT,579,1XPBDP9X6KD494509,2019,87A102380068
753132090,KENWORTH,T680,1XKYD49X1MJ446838,2021,87B031700189
782913023,KENWORTH,T680,1XKYD49X5MJ446843,2021,87B030600329
789981963,KENWORTH,T680,1XKYDP9XXKJ233062,2019,87B030590245
794713431,PETERBILT,567,1XPCDP9X5JD460094,2018,87B031220098
794713471,KENWORTH,T680,1XKYDP9X4HJ127344,2017,87A013490074
801986636,KENWORTH,T680,1XKYDP9XXKJ233059,2019,87B030590247
804004979,KENWORTH,T680,1XKYDP9X4KJ233056,2019,87B030600280
804004990,PETERBILT,579,1XPBDP9X5HD363824,2017,87B030590236
804004993,PETERBILT,579,1XPBDP9X2HD363778,2017,87B013130084
804004997,PETERBILT,579,1XPBD49X0PD837269,2023,87B030590229
806575439,PETERBILT,579,1XPBD49X9PD837271,2023,87B013410571
806575449,KENWORTH,T680,1XKYDP9X1LJ348330,2020,87B030320231
806575451,KENWORTH,T680,1XKYDP9X5LJ400929,2020,87B031220278
824524851,KENWORTH,T680,1XKYD49X3HJ157062,2017,87B031700164
831462929,KENWORTH,T680,1XKYDP9X0JJ189586,2018,87B010690851
853596548,KENWORTH,T680,1XKYDP9X5JJ189521,2018,87B013080370
853596550,PETERBILT,579,1XPBD49X7KD637756,2019,87B031720112
864017935,KENWORTH,T680,1XKYDP9X4FJ436583,2015,4C3000035134
865542728,KENWORTH,T680,1XKYD49X3KJ280660,2019,87B031720049
885112154,KENWORTH,T680,1XKYD49X2HJ142648,2017,87B031720111
892187123,PETERBILT,579,1XPBD49X0RD638113,2024,88B111810094
892187135,KENWORTH,T680,1XKYDP9X0HJ149485,2017,87B010620098
901147292,PETERBILT,579,1XPBD49X5RD638110,2024,87A111100223
904423156,KENWORTH,T680,1XKYD49X5J1184608,2018,87A013490069
929417325,PETERBILT,379,1XP5DB9X81D561383,2001,87B030330371
931989203,KENWORTH,T680,1XKYDP9X5HJ131967,2017,87B010400110
956368889,KENWORTH,T680,1XKYDP9X3LJ346448,2020,87A013610098
958392782,PETERBILT,579,1XPBDP9X5KD600478,2019,87B112220065
958392788,KENWORTH,T680,1XKYDP9X7GJ469403,2016,87B030600032
979982661,KENWORTH,T680,1XKYDP9X7LJ346453,2020,87A013610190
988131325,KENWORTH,W900,1XKWDB9X35J074254,2005,4C3000031913
988131326,PETERBILT,579,1XPBDP9X6KD627608,2019,87B030330276
989095297,PETERBILT,579,1XPBD49X1PD837264,2023,87B031220363
991851194,PETERBILT,386,1XPHD49X1CD145316,2012,87B031700137
999612598,PETERBILT,388,1NPWD49XXDD191911,2013,87B030590358
1005012073,PETERBILT,579,1XPBD49X9KD603558,2019,4C3000031018
1005012092,PETERBILT,579,1XPBDP9X8JD457783,2018,87B031720119
1023087878,KENWORTH,T680,1XKYD49X5LJ385184,2020,4C4000039524
1023087885,PETERBILT,579,1XPBDP9X0GD352762,2016,87B010400201
1023087887,KENWORTH,T680,1XKYD79X4LJ371200,1990,4C4000036658
